PETREL: Properties
4
i_index unit1 scale1
j_index unit1 scale1
k_index unit1 scale1
Facies_DX_0 unit1 scale1
10 49 47 2
10 49 48 2
10 49 49 2
10 49 50 2
10 49 51 2
10 49 52 2
10 49 53 2
10 49 54 2
10 49 55 2
11 48 44 2
11 48 45 2
11 48 46 2
11 48 47 2
11 48 48 2
11 48 49 2
11 48 50 2
11 48 51 2
11 48 52 2
11 48 53 2
11 48 54 2
11 48 55 2
11 48 56 2
11 48 57 2
11 49 45 2
11 49 46 2
11 49 47 2
11 49 48 2
11 49 49 2
11 49 50 2
11 49 51 2
11 49 52 2
11 49 53 2
11 49 54 2
11 49 55 2
11 49 56 2
11 49 57 2
11 50 46 2
11 50 47 2
11 50 48 2
11 50 49 2
11 50 50 2
11 50 51 2
11 50 52 2
11 50 53 2
11 50 54 2
11 50 55 2
11 50 56 2
12 47 41 2
12 47 42 2
12 47 43 2
12 47 44 2
12 47 45 2
12 47 46 2
12 47 47 2
12 47 48 2
12 47 49 2
12 47 50 2
12 47 51 2
12 47 52 2
12 47 53 2
12 47 54 2
12 47 55 2
12 47 56 2
12 47 57 2
12 47 58 2
12 47 59 2
12 48 42 2
12 48 43 2
12 48 44 2
12 48 45 2
12 48 46 2
12 48 47 2
12 48 48 2
12 48 49 2
12 48 50 2
12 48 51 2
12 48 52 2
12 48 53 2
12 48 54 2
12 48 55 2
12 48 56 2
12 48 57 2
12 48 58 2
12 48 59 2
12 49 43 2
12 49 44 2
12 49 45 2
12 49 46 2
12 49 47 2
12 49 48 2
12 49 49 2
12 49 50 2
12 49 51 2
12 49 52 2
12 49 53 2
12 49 54 2
12 49 55 2
12 49 56 2
12 49 57 2
12 49 58 2
12 50 44 2
12 50 45 2
12 50 46 2
12 50 47 2
12 50 48 2
12 50 49 2
12 50 50 2
12 50 51 2
12 50 52 2
12 50 53 2
12 50 54 2
12 50 55 2
12 50 56 2
12 50 57 5
12 50 58 5
13 45 43 2
13 45 44 2
13 45 45 2
13 45 46 2
13 45 47 2
13 45 48 2
13 45 49 2
13 45 50 2
13 45 51 2
13 45 52 2
13 45 53 2
13 45 54 2
13 45 55 2
13 45 56 2
13 45 57 2
13 45 58 2
13 45 59 2
13 46 41 2
13 46 42 2
13 46 43 2
13 46 44 2
13 46 45 2
13 46 46 2
13 46 47 2
13 46 48 2
13 46 49 2
13 46 50 2
13 46 51 2
13 46 52 2
13 46 53 2
13 46 54 2
13 46 55 2
13 46 56 2
13 46 57 2
13 46 58 2
13 46 59 2
13 46 60 2
13 47 40 2
13 47 41 2
13 47 42 2
13 47 43 2
13 47 44 2
13 47 45 2
13 47 46 2
13 47 47 2
13 47 48 2
13 47 49 2
13 47 50 2
13 47 51 2
13 47 52 2
13 47 53 2
